Image_Index,Original_Filename,Total_Vehicles,Motorcycles,Cars,Trucks
00488,488.jpg,25,13,10,2
00489,489.jpg,17,12,5,0
00490,490.jpg,15,10,5,0
00491,491.jpg,15,6,7,2
00492,492.jpg,20,8,8,4
00493,493.jpg,19,12,5,2
00494,494.jpg,14,4,4,6
00495,495.jpg,25,17,6,2
00496,496.jpg,27,18,7,2
00497,497.jpg,22,14,6,2
00498,498.jpg,17,8,7,2
00499,499.jpg,17,10,6,1
00500,500.jpg,12,7,5,0
00501,501.jpg,16,7,9,0
00502,502.jpg,12,4,8,0
00503,503.jpg,12,5,7,0
00504,504.jpg,15,10,5,0
00505,505.jpg,15,3,6,6
00506,506.jpg,17,10,6,1
00507,507.jpg,18,11,7,0
00508,508.jpg,13,10,3,0
00509,509.jpg,11,10,1,0
00510,510.jpg,6,5,1,0
00511,511.jpg,17,14,3,0
00512,512.jpg,7,7,0,0
00513,513.jpg,7,5,2,0
00514,514.jpg,10,9,1,0
00515,515.jpg,12,7,4,1
00516,516.jpg,19,5,8,6
00517,517.jpg,11,10,1,0
00518,518.jpg,4,4,0,0
00519,519.jpg,7,6,1,0
00520,520.jpg,11,11,0,0
00521,521.jpg,12,11,1,0
00522,522.jpg,10,8,1,1
00523,523.jpg,10,9,0,1
00524,524.jpg,10,9,1,0
00525,525.jpg,10,6,2,2
00526,526.jpg,11,9,1,1
00527,527.jpg,14,5,5,4
00528,528.jpg,9,7,0,2
00529,529.jpg,9,9,0,0
00530,530.jpg,16,12,4,0
00531,531.jpg,16,14,2,0
00532,532.jpg,13,11,1,1
00533,533.jpg,8,7,0,1
00534,534.jpg,11,9,1,1
00535,535.jpg,7,7,0,0
00536,536.jpg,11,7,3,1
00537,537.jpg,3,3,0,0
00538,538.jpg,13,6,2,5
00539,539.jpg,8,6,2,0
00540,540.jpg,11,9,2,0
00541,541.jpg,15,12,3,0
00542,542.jpg,12,10,2,0
00543,543.jpg,5,4,1,0
00544,544.jpg,10,9,0,1
00545,545.jpg,10,10,0,0
00546,546.jpg,7,7,0,0
00547,547.jpg,7,7,0,0
00548,548.jpg,10,10,0,0
00549,549.jpg,13,8,3,2
00550,550.jpg,11,10,1,0
00551,551.jpg,7,4,3,0
00552,552.jpg,15,12,2,1
00553,553.jpg,12,7,5,0
00554,554.jpg,6,5,1,0
00555,555.jpg,8,8,0,0
00556,556.jpg,8,6,2,0
00557,557.jpg,9,8,1,0
00558,558.jpg,4,4,0,0
00559,559.jpg,10,10,0,0
00560,560.jpg,11,4,3,4
00561,561.jpg,16,16,0,0
00562,562.jpg,12,11,1,0
00563,563.jpg,9,8,1,0
00564,564.jpg,10,7,2,1
00565,565.jpg,13,6,3,4
00566,566.jpg,13,9,1,3
00567,567.jpg,11,8,1,2
00568,568.jpg,16,12,2,2
00569,569.jpg,13,7,4,2
00570,570.jpg,15,9,5,1
00571,571.jpg,9,4,0,5
00572,572.jpg,7,2,4,1
00573,573.jpg,13,12,1,0
00574,574.jpg,9,8,1,0
00575,575.jpg,10,6,3,1
00576,576.jpg,11,10,1,0
00577,577.jpg,9,7,2,0
00578,578.jpg,7,6,1,0
00579,579.jpg,11,7,3,1
00580,580.jpg,12,7,5,0
00581,581.jpg,11,3,7,1
00582,582.jpg,14,10,4,0
00583,583.jpg,8,3,4,1
00584,584.jpg,5,4,1,0
00585,585.jpg,5,3,2,0
00586,586.jpg,18,13,4,1
00587,587.jpg,14,7,5,2
00588,588.jpg,4,4,0,0
00589,589.jpg,7,6,1,0
00590,590.jpg,7,5,2,0
00591,591.jpg,10,7,2,1
00592,592.jpg,13,12,1,0
00593,593.jpg,11,5,3,3
00594,594.jpg,3,2,1,0
00595,595.jpg,6,4,2,0
00596,596.jpg,11,8,3,0
00597,597.jpg,8,7,1,0
00598,598.jpg,10,6,3,1
00599,599.jpg,9,9,0,0
00600,600.jpg,5,5,0,0
00601,601.jpg,6,5,1,0
00602,602.jpg,6,5,1,0
00603,603.jpg,5,5,0,0
00604,604.jpg,10,2,3,5
00605,605.jpg,9,6,2,1
00606,606.jpg,3,2,1,0
00607,607.jpg,7,3,3,1
00608,608.jpg,7,3,4,0
00609,609.jpg,12,10,2,0
00610,610.jpg,11,8,3,0
00611,611.jpg,12,8,3,1
00612,612.jpg,9,8,1,0
00613,613.jpg,11,10,1,0
00614,614.jpg,8,6,1,1
00615,615.jpg,14,5,5,4
00616,616.jpg,10,8,2,0
00617,617.jpg,10,9,1,0
00618,618.jpg,9,8,1,0
00619,619.jpg,8,6,2,0
00620,620.jpg,10,8,1,1
00621,621.jpg,12,9,3,0
00622,622.jpg,13,10,2,1
00623,623.jpg,9,8,1,0
00624,624.jpg,6,4,2,0
00625,625.jpg,6,4,2,0
00626,626.jpg,7,2,2,3
00627,627.jpg,10,8,2,0
00628,628.jpg,11,8,3,0
00629,629.jpg,11,7,3,1
00630,630.jpg,11,9,2,0
00631,631.jpg,11,9,2,0
00632,632.jpg,7,5,2,0
00633,633.jpg,10,8,2,0
00634,634.jpg,7,4,3,0
00635,635.jpg,11,8,3,0
00636,636.jpg,12,9,3,0
00637,637.jpg,8,5,3,0
00638,638.jpg,7,5,1,1
00639,639.jpg,12,7,4,1
00640,640.jpg,11,6,5,0
00641,641.jpg,9,3,6,0
00642,642.jpg,10,9,1,0
00643,643.jpg,9,7,2,0
00644,644.jpg,6,4,2,0
00645,645.jpg,7,6,1,0
00646,646.jpg,10,9,1,0
00647,647.jpg,10,9,1,0
00648,648.jpg,9,4,1,4
00649,649.jpg,14,13,1,0
00650,650.jpg,11,10,1,0
00651,651.jpg,12,9,3,0
00652,652.jpg,11,10,1,0
00653,653.jpg,11,9,2,0
00654,654.jpg,10,7,3,0
00655,655.jpg,8,5,2,1
00656,656.jpg,15,14,1,0
00657,657.jpg,9,8,1,0
00658,658.jpg,3,2,1,0
00659,659.jpg,11,5,3,3
00660,660.jpg,9,8,1,0
00661,661.jpg,10,7,3,0
00662,662.jpg,6,5,1,0
00663,663.jpg,7,5,1,1
00664,664.jpg,12,10,2,0
00665,665.jpg,9,8,1,0
00666,666.jpg,7,6,1,0
00667,667.jpg,3,2,1,0
00668,668.jpg,8,5,2,1
00669,669.jpg,10,9,1,0
00670,670.jpg,13,7,5,1
00671,671.jpg,15,13,2,0
00672,672.jpg,9,7,1,1
00673,673.jpg,8,7,1,0
00674,674.jpg,11,9,2,0
00675,675.jpg,13,10,1,2
00676,676.jpg,16,10,5,1
00677,677.jpg,15,9,4,2
00678,678.jpg,10,3,4,3
00679,679.jpg,9,1,5,3
00680,680.jpg,12,6,4,2
00681,681.jpg,12,6,5,1
00682,682.jpg,9,4,3,2
00683,683.jpg,8,3,4,1
00684,684.jpg,15,9,5,1
00685,685.jpg,12,7,4,1
00686,686.jpg,9,6,2,1
00687,687.jpg,2,1,1,0
00688,688.jpg,8,7,1,0
00689,689.jpg,3,2,0,1
00690,690.jpg,4,3,1,0
00691,691.jpg,5,5,0,0
00692,692.jpg,14,6,5,3
00693,693.jpg,9,5,4,0
00694,694.jpg,12,6,4,2
00695,695.jpg,13,5,6,2
00696,696.jpg,1,0,1,0
00697,697.jpg,9,5,3,1
00698,698.jpg,14,9,4,1
00699,699.jpg,5,2,3,0
00700,700.jpg,10,9,0,1
00701,701.jpg,5,3,1,1
00702,702.jpg,4,4,0,0
00703,703.jpg,14,4,5,5
00704,704.jpg,10,8,1,1
00705,705.jpg,11,4,5,2
00706,706.jpg,5,2,2,1
00707,707.jpg,11,9,2,0
00708,708.jpg,4,1,3,0
00709,709.jpg,13,5,8,0
00710,710.jpg,8,5,3,0
00711,711.jpg,8,6,1,1
00712,712.jpg,2,2,0,0
00713,713.jpg,6,4,1,1
00714,714.jpg,16,5,8,3
00715,715.jpg,5,2,3,0
00716,716.jpg,3,2,0,1
00717,717.jpg,3,3,0,0
00718,718.jpg,2,1,1,0
00719,719.jpg,9,5,3,1
00720,720.jpg,8,8,0,0
00721,721.jpg,7,6,1,0
00722,722.jpg,9,7,2,0
00723,723.jpg,9,7,2,0
00724,724.jpg,8,6,2,0
00725,725.jpg,10,5,2,3
00726,726.jpg,13,10,2,1
00727,727.jpg,3,2,1,0
00728,728.jpg,6,3,3,0
00729,729.jpg,9,5,4,0
00730,730.jpg,9,9,0,0
00731,731.jpg,5,5,0,0
00732,732.jpg,4,3,1,0
00733,733.jpg,11,10,1,0
00734,734.jpg,11,9,2,0
00735,735.jpg,3,2,1,0
00736,736.jpg,10,6,3,1
00737,737.jpg,5,5,0,0
00738,738.jpg,10,4,6,0
00739,739.jpg,9,8,1,0
00740,740.jpg,8,7,1,0
00741,741.jpg,9,7,2,0
00742,742.jpg,10,9,1,0
00743,743.jpg,11,10,1,0
00744,744.jpg,11,9,2,0
00745,745.jpg,6,3,2,1
00746,746.jpg,10,8,1,1
00747,747.jpg,15,5,7,3
00748,748.jpg,10,9,1,0
00749,749.jpg,7,4,3,0
00750,750.jpg,7,6,1,0
00751,751.jpg,8,7,1,0
00752,752.jpg,10,9,1,0
00753,753.jpg,12,10,2,0
00754,754.jpg,12,9,2,1
00755,755.jpg,7,5,2,0
00756,756.jpg,6,5,1,0
00757,757.jpg,8,4,3,1
00758,758.jpg,16,5,7,4
00759,759.jpg,8,5,3,0
00760,760.jpg,8,7,1,0
00761,761.jpg,7,6,1,0
00762,762.jpg,9,6,2,1
00763,763.jpg,10,6,3,1
00764,764.jpg,16,11,4,1
00765,765.jpg,10,8,2,0
00766,766.jpg,4,3,1,0
00767,767.jpg,15,8,6,1
00768,768.jpg,15,9,5,1
00769,769.jpg,11,5,4,2
00770,770.jpg,6,3,1,2
00771,771.jpg,4,3,1,0
00772,772.jpg,14,10,4,0
00773,773.jpg,10,6,4,0
00774,774.jpg,13,9,3,1
00775,775.jpg,8,7,1,0
00776,776.jpg,10,10,0,0
00777,777.jpg,12,11,1,0
00778,778.jpg,10,9,1,0
00779,779.jpg,5,3,1,1
00780,780.jpg,11,4,3,4
00781,781.jpg,10,9,1,0
00782,782.jpg,5,4,1,0
00783,783.jpg,11,6,4,1
00784,784.jpg,7,5,2,0
00785,785.jpg,7,5,1,1
00786,786.jpg,9,8,1,0
00787,787.jpg,6,4,2,0
00788,788.jpg,9,3,5,1
00789,789.jpg,10,9,1,0
00790,790.jpg,7,6,1,0
00791,791.jpg,8,3,3,2
00792,792.jpg,9,8,1,0
00793,793.jpg,11,7,4,0
00794,794.jpg,12,9,3,0
00795,795.jpg,11,9,2,0
00796,796.jpg,4,3,1,0
00797,797.jpg,10,8,2,0
00798,798.jpg,4,3,1,0
00799,799.jpg,10,8,2,0
00800,800.jpg,3,2,1,0
00801,801.jpg,9,6,3,0
00802,802.jpg,11,4,4,3
00803,803.jpg,8,4,4,0
00804,804.jpg,9,6,3,0
00805,805.jpg,9,8,1,0
00806,806.jpg,11,10,1,0
00807,807.jpg,8,4,3,1
00808,808.jpg,9,5,4,0
00809,809.jpg,11,9,2,0
00810,810.jpg,8,6,2,0
00811,811.jpg,9,8,1,0
00812,812.jpg,9,4,5,0
00813,813.jpg,7,1,2,4
00814,814.jpg,14,9,5,0
