Original_Filename,Total_Vehicles,Motorcycles,Cars,Trucks,TruckCar_Percentage
1436.jpg,4,0,2,2,100.0
1437.jpg,13,6,5,2,53.84615384615385
1438.jpg,7,0,4,3,100.0
1439.jpg,9,3,3,3,66.66666666666666
1440.jpg,12,7,3,2,41.66666666666667
1441.jpg,7,1,4,2,85.71428571428571
1442.jpg,14,6,3,5,57.14285714285714
1443.jpg,10,4,3,3,60.0
1444.jpg,9,1,3,5,88.88888888888889
1445.jpg,11,3,4,4,72.72727272727273
1446.jpg,18,11,4,3,38.88888888888889
1447.jpg,14,4,4,6,71.42857142857143
1448.jpg,15,3,6,6,80.0
1449.jpg,19,5,8,6,73.68421052631578
1450.jpg,14,5,5,4,64.28571428571429
